name,title,college,url
Grant Braught,Professor,Dickinson College,https://www.dickinson.edu/site/custom_scripts/dc_faculty_profile_index.php?fac=braught
Matt Ferland,Assistant Professor,Dickinson College,https://www.dickinson.edu/site/custom_scripts/dc_faculty_profile_index.php?fac=ferlandm
Dick Forrester,Professor,Dickinson College,https://www.dickinson.edu/site/custom_scripts/dc_faculty_profile_index.php?fac=forrestr
William Goble,Lecturer,Dickinson College,https://www.dickinson.edu/site/custom_scripts/dc_faculty_profile_index.php?fac=goblew
John MacCormick,Professor,Dickinson College,https://www.dickinson.edu/site/custom_scripts/dc_faculty_profile_index.php?fac=jmac
Farhan Siddiqui,Associate Professor,Dickinson College,https://www.dickinson.edu/site/custom_scripts/dc_faculty_profile_index.php?fac=siddiquf
Barry Burd,Assistant Teaching Professor,Drew University,
Valerie Siyuan Feng,Assistant Professor,Drew University,
Chris Gibbs,Adjunct Professor,Drew University,
Prasad Kothapalli,Adjunct Professor,Drew University,
Diane Liporace,Adjunct Instructor,Drew University,
Yi Lu,Associate Professor,Drew University,
Fred Meyer,Adjunct Professor,Drew University,
Adam Michlin,Assistant Professor,Drew University,
Alex Rudniy,Associate Professor,Drew University,
Debanjali Banerjee,Assistant Professor,Earlham College,https://earlham.edu/faculty-staff/debanjali-banerjee/
Doug Harms,Instructor,Earlham College,https://earlham.edu/faculty-staff/doug-harms/
Charlie Peck,Associate Professor,Earlham College,https://earlham.edu/faculty-staff/charlie-peck/
Fatemeh Valizadeh Gamchi,Assistant Professor,Earlham College,https://earlham.edu/faculty-staff/fatemeh-valizadeh-gamchi/
Yunting Yin,Assistant Professor,Earlham College,https://earlham.edu/faculty-staff/yunting-yin/
Injoo Kim,Associate Professor,East-West University,https://www.eastwest.edu/computer-information-science/faculty/injoo-kim/
Julie Zhang,Associate Professor,East-West University,https://www.eastwest.edu/computer-information-science/faculty/julie-zhang/
Komal Vashisht,Adjunct Instructor,East-West University,
Fran Casillas,Adjunct Professor,East-West University,
Kelly R. Debure,Professor,Eckerd College,https://www.eckerd.edu/computer-science/faculty/debure/
Michael L Hilton,Associate Professor,Eckerd College,http://www.eckerd.edu/computer-science/faculty/hilton/
Holger Mauch,Professor,Eckerd College,https://www.eckerd.edu/computer-science/faculty/mauch/
Robert Beasley,Professor,Franklin College,https://franklincollege.edu/faculty/robert-beasley-ph-d/
Kerry Smith,Professor,Franklin College,https://franklincollege.edu/faculty/kerry-smith-ph-d/
Justin D Brody,Assistant Professor,Franklin & Marshall College,https://www.fandm.edu/directory/justin-brody.html
Jing Hu,Associate Professor,Franklin & Marshall College,https://www.fandm.edu/directory/jing-hu.html
Emily K Jensen,Assistant Professor,Franklin & Marshall College,https://www.fandm.edu/directory/emily-jensen.html
Jacob Logas,Assistant Professor,Franklin & Marshall College,https://www.fandm.edu/directory/jacob-logas.html
Brad McDanel,Assistant Professor,Franklin & Marshall College,https://www.fandm.edu/directory/brad-mcdanel.html
Ed Novak,Associate Professor,Franklin & Marshall College,https://www.fandm.edu/directory/ed-novak.html
Tony J Weaver,Adjunct Senior Instructor,Franklin & Marshall College,https://www.fandm.edu/directory/anthony-weaver.html
Willie Wilson,Assistant Professor,Franklin & Marshall College,https://www.fandm.edu/directory/willie-wilson.html
Andrea Tartaro,Professor,Furman University,https://www.furman.edu/people/andrea-tartaro
Chris Alvin,Associate Professor,Furman University,https://www.furman.edu/people/christopher-alvin
Rebecca Drucker,Assistant Professor,Furman University,https://www.furman.edu/people/rebecca-drucker
Syed Fahad Sultan,Assistant Professor,Furman University,https://www.furman.edu/people/syed-fahad-sultan
Kevin Treu,Professor,Furman University,https://www.furman.edu/people/kevin-treu
Sunghee Sunny Kim,Professor,Gettysburg College,https://www.gettysburg.edu/academic-programs/computer-science/faculty/employee_detail.dot?empId=02779742020013294&pageTitle=Sunghee++Sunny+Kim
Ivaylo Ilinkin,Professor,Gettysburg College,https://www.gettysburg.edu/academic-programs/computer-science/faculty/employee_detail.dot?empId=04006600720013294&pageTitle=Ivaylo+Ilinkin
Todd W. Neller,Professor,Gettysburg College,https://www.gettysburg.edu/academic-programs/computer-science/faculty/employee_detail.dot?empId=02000447520013294&pageTitle=Todd+W.+Neller
Clif Presser,Associate Professor,Gettysburg College,https://www.gettysburg.edu/academic-programs/computer-science/faculty/employee_detail.dot?empId=02000449020013294&pageTitle=Clif+Presser
Daniel White,Lecturer,Gettysburg College,https://www.gettysburg.edu/academic-programs/computer-science/faculty/employee_detail.dot?empId=010401306320013294&pageTitle=Daniel+White
Jonathan Hoffman,Adjunct Instructor,Gettysburg College,https://www.gettysburg.edu/academic-programs/computer-science/faculty/employee_detail.dot?empId=014675866920013294&pageTitle=Jonathan+Hoffman
Russell C. Bjork,Professor,Gordon College,http://web.mit.edu
Irvin J. Levy,Professor,Gordon College,http://web.bu.edu
Jonathan R. Senning,Professor,Gordon College,http://www.gordon.edu
Jill Zimmerman,Professor,Goucher College,https://www.goucher.edu/faculty/jill-zimmerman
Mohammad Naderi Dehkordi,Associate Professor,Goucher College,https://www.goucher.edu/faculty/mohammad-naderi-dehkordi
Thomas Kelliher,Associate Professor,Goucher College,https://www.goucher.edu/faculty/thomas-kelliher
Robert Lewand,Professor,Goucher College,
Peter-Michael Osera,Associate Professor,Grinnel College,https://www.grinnell.edu/user/933
Ali Allami,Associate Professor,Grinnel College,https://www.grinnell.edu/user/28106
Eric Autry,Assistant Professor,Grinnel College,https://www.grinnell.edu/user/26706
Charlie Curtsinger,Associate Professor,Grinnel College,https://www.grinnell.edu/user/932
Nicole Eikmeier,Associate Professor,Grinnel College,https://www.grinnell.edu/user/15901
